time,open,high,low,close,HV
2022-11-01T08:00:00+08:00,1573.2,1612.1,1563.3,1578.8,67.6707742806892
2022-11-02T08:00:00+08:00,1580,1620.5,1503.2,1518.6,68.28379648973244
2022-11-03T08:00:00+08:00,1518.4,1558.6,1515.6,1531.1,68.22282770838689
2022-11-04T08:00:00+08:00,1531.2,1676.8,1528.5,1645.2,70.25569335132542
2022-11-05T08:00:00+08:00,1645.6,1665.8,1622,1627.4,69.67193262741648
2022-11-06T08:00:00+08:00,1626.4,1639.4,1564.1,1568.4,69.35608936146389
2022-11-07T08:00:00+08:00,1567.7,1608.5,1547,1568.3,69.35033813930467
2022-11-08T08:00:00+08:00,1568.3,1579.7,1220,1334.2,78.63356382717133
2022-11-09T08:00:00+08:00,1333.2,1336.9,1071.5,1099.7,90.69589841399677
2022-11-10T08:00:00+08:00,1097.7,1350,1082.6,1294.9,99.91583744047617
2022-11-11T08:00:00+08:00,1294.9,1305,1196.7,1284.8,99.74878349977922
2022-11-12T08:00:00+08:00,1284.8,1288.9,1236.2,1255.2,97.77866878389072
2022-11-13T08:00:00+08:00,1255.4,1272,1200,1219.5,97.35875251181058
2022-11-14T08:00:00+08:00,1221,1288.2,1172.1,1241.6,94.14488907215234
2022-11-15T08:00:00+08:00,1241.7,1291.4,1232.6,1252.3,94.00614484659017
2022-11-16T08:00:00+08:00,1251.8,1265.8,1186.1,1216,94.01135591538458
2022-11-17T08:00:00+08:00,1216.9,1227.2,1182.2,1200.1,91.15945584440199
2022-11-18T08:00:00+08:00,1199,1233.3,1199,1211.8,90.84862234337203
2022-11-19T08:00:00+08:00,1211.3,1231.5,1198,1216.8,90.39518369761298
2022-11-20T08:00:00+08:00,1216.4,1224.1,1129.2,1141.4,90.5962446825285
2022-11-21T08:00:00+08:00,1140.8,1145,1079.7,1105.6,89.53345731004941
2022-11-22T08:00:00+08:00,1105.4,1141.4,1074.4,1138.2,89.8732881311292
2022-11-23T08:00:00+08:00,1138.9,1188.5,1127.2,1183.2,90.42923697600186
2022-11-24T08:00:00+08:00,1183,1215.5,1179.5,1203.2,90.43992277057787
2022-11-25T08:00:00+08:00,1202.8,1207.3,1170.8,1198.2,90.02802290580973
2022-11-26T08:00:00+08:00,1198.9,1234,1196.3,1204.9,90.03795767371297
2022-11-27T08:00:00+08:00,1205.2,1222.8,1188.5,1193.1,90.03421896561875
2022-11-28T08:00:00+08:00,1193,1199,1149.4,1167.6,90.16239628532418
2022-11-29T08:00:00+08:00,1167.2,1226.2,1157.2,1215.7,90.75719450871922
2022-11-30T08:00:00+08:00,1215.6,1310,1212.2,1295.1,92.07859361156919
2022-12-01T08:00:00+08:00,1294.7,1295.9,1263.7,1276.5,91.90128578224545
2022-12-02T08:00:00+08:00,1276.5,1296.8,1264.9,1296,91.5433461169509
2022-12-03T08:00:00+08:00,1296.3,1306.3,1236.5,1241.3,91.83937688891936
